Averages per problem (n_runs = 30)
==================================================

p1_easy: reward_average=845.233333 | time_average=12.248098s
e1_easy: reward_average=766.700000 | time_average=40.783805s
e2_easy: reward_average=652.000000 | time_average=14.492003s
e3_easy: reward_average=629.566667 | time_average=19.938304s
e4_easy: reward_average=884.733333 | time_average=45.032868s
e5_easy: reward_average=713.066667 | time_average=25.907563s
m1_easy: reward_average=557.900000 | time_average=0.587347s
m2_easy: reward_average=584.500000 | time_average=1.314174s
m3_easy: reward_average=580.533333 | time_average=3.067615s
m4_easy: reward_average=689.466667 | time_average=21.321811s
m5_easy: reward_average=583.166667 | time_average=0.224284s
rl_easy: reward_average=2778.866667 | time_average=0.165170s
p1_med: reward_average=1195.166667 | time_average=10.421538s
e1_med: reward_average=1092.100000 | time_average=66.466656s
e2_med: reward_average=929.733333 | time_average=12.652855s
e3_med: reward_average=896.766667 | time_average=17.206485s
e4_med: reward_average=1257.333333 | time_average=74.182540s
Averages per problem (n_runs = 30)
==================================================

p1_easy: reward_average=838.066667 | time_average=3.939721s
e1_easy: reward_average=768.833333 | time_average=5.901305s
e2_easy: reward_average=642.900000 | time_average=1.416285s
e3_easy: reward_average=607.533333 | time_average=5.127934s
e4_easy: reward_average=887.133333 | time_average=5.352463s
e5_easy: reward_average=711.633333 | time_average=5.629132s
m1_easy: reward_average=561.500000 | time_average=0.588773s
m2_easy: reward_average=593.166667 | time_average=1.455551s
e5_med: reward_average=1014.100000 | time_average=40.369835s
m3_easy: reward_average=582.800000 | time_average=3.370455s
m1_med: reward_average=797.133333 | time_average=0.799186s
m2_med: reward_average=840.433333 | time_average=1.902980s
m3_med: reward_average=781.766667 | time_average=4.624514s
m4_easy: reward_average=681.133333 | time_average=7.759337s
m5_easy: reward_average=585.533333 | time_average=0.389427s
rl_easy: reward_average=2781.500000 | time_average=0.094368s
p1_med: reward_average=1211.766667 | time_average=5.834569s
e1_med: reward_average=1092.666667 | time_average=9.039009s
e2_med: reward_average=929.966667 | time_average=2.883527s
e3_med: reward_average=894.566667 | time_average=7.658814s
e4_med: reward_average=1255.466667 | time_average=8.585438s
e5_med: reward_average=1008.433333 | time_average=8.413328s
m1_med: reward_average=803.266667 | time_average=0.919374s
m2_med: reward_average=833.300000 | time_average=1.996243s
m3_med: reward_average=784.966667 | time_average=5.013157s
m4_med: reward_average=969.466667 | time_average=59.633880s
m5_med: reward_average=827.866667 | time_average=0.571421s
rl_med: reward_average=4041.466667 | time_average=0.465705s
m4_med: reward_average=967.366667 | time_average=10.862971s
m5_med: reward_average=826.966667 | time_average=0.545811s
rl_med: reward_average=4068.033333 | time_average=0.133711s
p1_hard: reward_average=1237.066667 | time_average=7.864093s
e1_hard: reward_average=1420.533333 | time_average=11.531382s
e2_hard: reward_average=925.000000 | time_average=2.656989s
p1_hard: reward_average=1226.833333 | time_average=26.213447s
e3_hard: reward_average=950.566667 | time_average=9.132725s
e4_hard: reward_average=1506.933333 | time_average=10.274107s
e5_hard: reward_average=976.500000 | time_average=10.492833s
m1_hard: reward_average=873.533333 | time_average=1.089464s
m2_hard: reward_average=773.300000 | time_average=2.251455s
m3_hard: reward_average=789.600000 | time_average=5.419146s
m4_hard: reward_average=1184.433333 | time_average=14.062520s
m5_hard: reward_average=852.100000 | time_average=3.489264s
rl_hard: reward_average=5407.400000 | time_average=0.176300s
e1_hard: reward_average=1426.366667 | time_average=82.918470s
e2_hard: reward_average=907.700000 | time_average=28.661702s
